Version,College Name,Location,Date,No of Participants Attended,No of Sessions,Session Duration,Usage
online,CDC VLabs,Cdc warangal,2015-09-21,155,2,02:00,1486
online,CITS Vlabs,"CITS,warangal",2015-09-22,122,2,02:00,1168
online,TPEC Vlabs,"TPEC,Warangal",2015-09-23,167,4,02:00,2498
online,BITS Vlabs,"BITS,warangal",2015-09-24,92,2,02:00,1926
online,JNTUH J Vlabs,"JNTUH J,Karimnagar",2016-04-02,105,2,02:00,1576
online,Sudheer Reddy Sai,Nizamabad,2015-09-21,94,2,02:00,1104
online,KITS Women Sai,Nizamabad,2015-09-21 20:00:00,133,2,02:00,1461
online,Vijay Rural Sai,Nizamabad,2015-09-23,85,2,02:00,1188
online,Kshatriya College Sai,Nizamabad,2015-09-24 20:00:00,98,2,02:00,997
online,RRS Sai,Medak,2015-09-28,38,2,02:00,643
online,Laqshya Srinath,KHAMMAM,2015-09-21,536,12,02:00,5647
online,Tirumala Srinath,"bogaram,near ghatkesar",2015-09-28,124,2,02:00,1351
online,Spoorthy Srinath,nadergul,2015-12-29,43,2,02:00,670
online,SCient Srinath,ibrampatnam,2015-09-30,55,0,02:00,631
online,Trinity Vlabs,"Trinity,Karimnagar",2015-09-30,53,1,02:00,530
online,SCEC Vlabs,"SCEC,Karimnagar",2015-10-01,105,2,02:00,1895
online,SR Vlabs,"SR,Warangal",2015-10-03,80,2,02:00,230
online,Vignan Institute Srinath,Kondapur,2015-10-01,59,1,02:00,687
online,Nagole Srinath,kuntloor,2015-10-03,86,2,02:00,1135
online,Indur sai,Medak,2015-10-29,210,4,02:00,2188
online,DVR Sai,Medak,2015-10-01,73,2,02:00,1044
online,Mother Theresa Sai,Karimnagar,2015-10-03,61,2,02:00,837
online,Vagdevi Sai,Warangal,2015-10-06,91,2,02:00,1029
online,KITS Sai,Warangal,2015-10-08,51,2,02:00,582
online,Abhinav Srinath,"himayath nagar,near chilkur temple",2015-10-05,56,1,02:00,938
online,CVSR Srinath,"venkatapur,near ghatkesar",2015-10-06,101,2,02:00,1592
online,KG Reddy srinath,moinabad,2015-09-10,230,3,02:00,3358
online,Shadans Womens Srinath,kharitabad,2015-10-13,130,2,02:00,1968
online,Outreach Workshop,"Ganga Institute of Technology, Jhajjar Haryana",2016-02-09,78,2,01:00,10
online,Outreach Workshop,"Apex Institute of Engineering and Technology, Jaipur",2016-02-12,250,5,01:00,20
online,Workshop on Virtual Labs,"Noida Institute of Engineering and Technology, Greater Noida",2016-02-12,268,4,01:00,268
online,MIST Vlabs,"MIST,Khammam",2015-12-17,135,4,02:00,3044
online,SSIT Vlabs,"Sai spurthi Institute of technology, Khammam",2015-12-14,264,5,02:00,4680
online,Anurag Vlabs,"Anurag,Nalgonda",2015-10-07,51,1,03:00,298
online,Sana Vlabs,"Sana,Kodad",2015-10-08,106,2,03:00,2052
online,Two days workshop on virtual laboratory,West Bengal,2016-02-09,155,2,06:00,50
online,Workshop on virtual laboratory,Guwahati,2016-02-26,91,1,03:00,50
online,Workshop on virtual laboratory,Guwahati,2015-03-19,160,1,05:00,50
online,Two days workshop on virtual laboratory,Agartala,2016-01-13,47,2,08:00,50
online,Workshop on virtual Laboratory,"Barpeta, Assam",2015-03-28,23,1,03:00,10
online,Workshop on Virtual Laboratory,"Guwahati, Assam",2015-03-18,31,1,04:00,50
online,Workshop on Virtual Laboratory,"kokrajhar, Assam",2016-01-21,83,1,03:00,50
online,Virtual Lab,"Anand Engineering College, Agra, Uttar Pradesh",2015-03-31,180,2,01:00,180
online,Virtual Lab,"Skyline Institute of Engineering and Technology, Greater Noida, UP",2015-10-20,250,2,01:00,12
online,MITS Vlabs,"MITS,Kodad",2015-10-09,50,2,02:00,934
online,Virtual Lab,"Indian Institute of Information Technology, Design and Manufacturing, Jabalpur",2012-12-18,130,3,00:40,10
offline,IIT Kanpur,AITH Kanpur,2015-04-22,55,2,04:00,990
offline,IIT Kanpur,IIT Kanpur,2015-03-15,157,4,00:40,14130
online,Virtual lab workshop,"Central Institute of Technology, Kokrajhar",2016-02-22,63,1,06:00,3150
online,Virtual lab workshop,Saint Anthony College,2015-09-26,31,1,06:00,1550
online,Virtual lab workshop,"Don Bosco College of Engineering and Technology, Guwahati",2015-03-18,31,1,06:00,1550
online,Virtual lab workshop,"NIT Arunachal Pradesh, Aruachal Pradesh",2015-04-02,87,2,06:00,4350
online,Virtual lab workshop,"Kalyani Govt Engineering College, West Bengal",2016-02-09,155,2,06:00,7750
online,Virtual lab workshop,"Tripura University, Tripura",2016-01-14,47,2,12:00,2350
online,Virtual lab workshop,"Royal School of Engineering and Technology, Guwahati",2016-02-26,91,1,06:00,4550
online,Virtual lab workshop,"IIIT Guwahati, Guwahati",2015-03-19,160,1,06:00,8000
online,virtual labs,"vaageswari college of engineering,karimnagar",2016-03-28,107,2,02:00,1966
online,SVEC- Vlabs,"SVEC,Suryapet",2016-03-28,80,2,02:00,1256
online,vaageswari engineering college,karimnagar,2016-03-31,170,2,02:30,3217
online,vaageswari  college of engineering,karimnagar,2016-03-30,87,2,02:30,1484
online,vaageswari  college of engineering,karimnagar,2016-03-29,180,2,02:30,3241
online,jyothismathi institute of technological sciences,karimnagar,2016-04-01,111,2,02:30,2027
online,jyothismathi institute of technological sciences,ksrimnagar,2016-04-02,45,1,02:30,805
online,jyothismathi institute of technological sciences,karimnagar,2016-04-02,NULL,1,02:30,NULL
online,jyothismathi institute of technological sciences,karimnagar,2016-04-02,NULL,1,02:30,NULL
online,jyothismathi institute of technological sciences,karimnagar,2016-04-02,NULL,1,02:30,NULL
online,jyothismathi institute of technological sciences,karimnagar,2016-04-02,NULL,1,02:30,NULL
online,Requested Workshop,"SREC, Warangal, Telangana",2016-04-20,0,2,04:00,0
online,Workshop on Virtual Labs,"Desh Bhagat University, Mandi Gobindgarh",2014-10-16,414,4,01:00,800
online,Workshop on Virtual Labs,Dronacharya College of Engineering,2014-11-11,261,3,01:00,270
online,Workshop on Virtual Labs,"Meerut Institute of Technology, Meerut",2014-11-18,393,4,01:00,3750
online,Workshop on Virtual Labs,Modern Institute of Technology and Research Centre,2014-11-20,218,2,01:00,2973
online,Workshop on Virtual Labs,"Lingyas University, Faridabad",2014-11-26,352,4,01:00,2880
online,Workshop on Virtual Labs,"Asia Pacific Institute of Information Technology, Panipat",2014-11-27,433,5,01:00,1080
offline,Workshop on Virtual Labs,Dewan VS Group of Institutions,2014-11-28,185,2,01:00,185
online,Workshop on Virtual Labs,Hindu Institute of Technology,2015-01-28,200,2,01:00,271
online,Workshop on Virtual Labs,PM College of Engineering,2015-02-09,216,3,01:00,272
online,Workshop on Virtual Labs,JKP Polytechnic Rattangarh Sonepat,2015-02-10,271,4,01:00,292
online,Workshop on Virtual Labs,Noida Institute of Engineering and Technology,2015-02-12,575,5,01:00,6000
online,Virtual Labs,Tagore Institute of Research and Technology Jamalpur Gurgaon,2015-02-13,130,2,01:00,166
online,Virtual Labs,Ram Eesh Institute of Engineering and Technology Greater Noida,2015-02-18,150,2,01:00,191
online,Virtual Labs,Krishna Institute of Engineering and Technology,2015-02-20,200,3,01:00,2700
online,Virtual Labs,Gurgaon Institute of Technology and Management Bilaspur Gurgaon,2015-02-25,113,2,01:00,146
online,Virtual Labs,Asra College of Engineering and Technology,2015-02-27,138,2,01:00,138
online,Virtual Labs,IIMT College of Engineering,2015-03-14,133,3,01:00,3000
online,Virtual Labs,Panipat Institute of Engineering and Technology,2015-03-12,207,3,01:00,207
